Vanderlei Macris,S
Evair de Melo,S
Alex Canziani,S
Mário Negromonte Jr,S
Sérgio Moraes,N
Reinhold Stephanes,S
Bebeto,N
Pepe Vargas,N
Anibal,S
Rosinha da Adefal,N
Flavia Morais,N
Dâmina Pereira,N
